,,,,
Time (sec),Yaw_Front_Left (deg),Yaw_Back_Left (deg),Yaw_Back_Right (deg),Yaw_Front_Right (deg)
58.16,162.8696821,166.1302632,155.5697392,148.9187419
58.2,162.8371015,166.1346192,155.5747813,148.8893068
58.24,162.8157886,166.136668,155.5787298,148.875516
58.25,162.8121523,166.136929,155.5800181,148.8737393
58.28,162.8012741,166.1372602,155.5823547,148.8722797
58.3,162.7968512,166.1369394,155.5836323,148.8751351
58.32,162.7952757,166.1363059,155.5857611,148.877393
58.36,162.7936258,166.1349617,155.5904198,148.8788499
58.4,162.793422,166.1331764,155.5958843,148.8737968
58.44,162.7948718,166.131842,155.6015977,148.8706644
58.48,162.7967391,166.1307606,155.6074942,148.8671176
58.52,162.7979144,166.1303247,155.6131414,148.8645067
58.56,162.7977645,166.1307085,155.6182232,148.8637269
58.6,162.7972592,166.1316044,155.623148,148.8641013
58.64,162.7975682,166.1327579,155.6283534,148.8652522
58.68,162.7980741,166.1340512,155.6336159,148.8666585
58.72,162.7981167,166.1353996,155.6386693,148.86796
58.76,162.7977053,166.1367923,155.6435189,148.869139
58.8,162.7977702,166.1382255,155.6484929,148.8705387
58.8175,162.7979575,166.1388995,155.6507282,148.8712664
58.84,162.7987347,166.1397366,155.6537555,148.8723736
58.84875,162.7982606,166.1400415,155.6546477,148.872495
58.88,162.7991505,166.1412647,155.6587705,148.874055
58.92,162.7989886,166.142776,155.663512,148.8755267
58.95083333,162.7995772,166.1439272,155.6673669,148.8769326
58.96,162.7992534,166.1442712,155.6683333,148.8771706
59,162.8003288,166.1458001,155.6733946,148.8791827
59.04,162.8013036,166.1473175,155.6783575,148.8811766
59.08,162.8015218,166.1488025,155.6829865,148.8828772
59.12,162.801191,166.1502348,155.687352,148.8843231
59.16,162.8020051,166.1516591,155.6920626,148.8862209
59.2,162.803223,166.1530908,155.6968644,148.8883185
59.24,162.8035378,166.1544713,155.7012766,148.890068
59.28,162.8033291,166.155789,155.7054295,148.8915765
59.28,162.8033291,166.155789,155.7054295,148.8915765
59.32,162.8039801,166.1570653,155.7098165,148.8933922
59.36,162.8048019,166.158321,155.7142084,148.8952922
59.4,162.8054899,166.1595519,155.7185012,148.8971382
59.44,162.8051601,166.1607265,155.722375,148.8985601
59.48,162.8051796,166.161836,155.7262983,148.9000761
